Indicator;SeriesID;SeriesDescription;GeoAreaCode;GeoAreaName;TimePeriod;Total;Time_Detail;Source;FootNote;Nature;Units;Reporting Type;SeriesCode
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2008;0,8;2008;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2009;1,1;2009;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2010;1;2010;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2011;0,9;2011;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2012;0,9;2012;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2013;1,0;2013;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2014;1,1;2014;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2015;1,3;2015;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2016;1,4;2016;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2017;1,6;2017;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2018;1,7;2018;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2019;1,8;2019;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);12;Algeria;2020;1,0;2020;National Statistics Office;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);32;Argentina;2016;1,9;2016;Ministerio de Turismo y Deportes e INDEC;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);32;Argentina;2017;2,0;2017;Ministerio de Turismo y Deportes e INDEC;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);32;Argentina;2018;1,8;2018;Ministerio de Turismo y Deportes e INDEC;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);32;Argentina;2019;1,9;2019;Ministerio de Turismo y Deportes e INDEC;;C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);533;Aruba;2013;19,9;2013;Central Bureau of Statistics Aruba: National Accounts (2013-2017 / TDS (preliminary results);"Provisional data.
The TSA has indeed been implemented in 2013 and is based on the Supply and Use Tables (SUT) of the National Accounts. The SUT will be implemented again for the year 2023. 
For the years in between, the data is collected from the same data sources, and are published as soon as the GDP data is published. The data also becomes final when the GDP data is final.";C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);533;Aruba;2014;21,1;2014;Central Bureau of Statistics Aruba: National Accounts (2013-2017 / TDS (preliminary results);"Provisional data.
The TSA has indeed been implemented in 2013 and is based on the Supply and Use Tables (SUT) of the National Accounts. The SUT will be implemented again for the year 2023. 
For the years in between, the data is collected from the same data sources, and are published as soon as the GDP data is published. The data also becomes final when the GDP data is final.";C;PERCENT;G;ST_GDP_ZS
8.9.1;3152;Tourism direct GDP as a proportion of total GDP (%);533;Aruba;2015;21,6;2015;Central Bureau of Statistics Aruba: National Accounts (2013-2017 / TDS (preliminary results);"Provisional data.
The TSA has indeed been implemented in 2013 and is based on the Supply and Use Tables (SUT) of the National Accounts. The SUT will be implemented again for the year 2023. 
For the years in between, the data is collected from the same data sources, and are published as soon as the GDP data is published. The data also becomes final when the GDP data is final.";C;PERCENT;G;ST_GDP_ZS
